"accord",8,
"address",5,
"affect",7,
"agree",16,"gs"
"base",9,
"become",7,
"believe",14,"gs"
"build",14,"gs"
"call",23,"gs"
"cause",8,"gs"
"change",10,"gs"
"come",20,
"consider",26,"gs"
"continue",13,"gs"
"create",6,
"develop",9,
"expect",11,"gs"
"find",29,"gs"
"follow",11,
"get",34,
"give",21,"gs"
"go",0,
"grow",17,
"happen",6,"gs"
"help",24,"gs"
"include",7,
"increase",7,
"keep",26,"gs"
"know",20,
"lead",11,
"live",14,
"look",20,
"make",30,
"mean",18,
"move",15,"gs"
"need",16,
"occur",7,
"predict",13,
"produce",3,"gs"
"provide",11,"gs"
"put",19,
"read",16,
"reduce",7,
"release",8,
"remain",15,
"report",25,
"require",15,
"rise",8,
"say",19,"gs"
"see",30,
"seem",16,"gs"
"set",24,
"show",29,
"start",18,"gs"
"suggest",18,
"support",7,
"take",29,
"tell",30,
"think",26,
"try",11,"gs"
"use",10,
"want",16,"gs"
"work",19,
"write",22,"gs"
